,task_uuid,level_number,chat,phrase,reference_type,valence,compound,features,notes
1070,AAQ6ANTTUVN0P:3483FV8BEG7AXUOOJ7TJJP1VKL062R,1,"All three of the bottom ones in that corner were bad, you were right to stop.",All three of the bottom ones in that corner were bad,object_behavior,negative,,,
1070,AAQ6ANTTUVN0P:3483FV8BEG7AXUOOJ7TJJP1VKL062R,1,"All three of the bottom ones in that corner were bad, you were right to stop.",you were right to stop.,trajectory,positive,,,
563,A2MWAXV1YRK5GH:3AWETUDC94GGWPM1AFBM3317E60ZIY,6,all triangles are worth 0,,features,zero,,triangle,
1176,AMX5R6NLYNA2K:35BLDD71I8LLIV619MA5ISR1MAXVZW,4,all white is like 1s and 0s for me,,features,zero,,white,
348,A22LZ62E0UC4VL:3OE22WJIGKCCROGAH0HNVDDE301QU6,8,Almost there!,,trajectory,positive,,,
705,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,4,Alright!,,trajectory,positive,,,
511,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,3,also white circle is medium positive. Head for pink circles then white circles. good job!,also white circle is medium positive,features,positive,,"white, circle",
511,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,3,also white circle is medium positive. Head for pink circles then white circles. good job!,Head for pink circles then white circles,features,positive,yes,"white, circle, pink",relative valuation
511,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,3,also white circle is medium positive. Head for pink circles then white circles. good job!,good job!,trajectory,positive,,,
362,A23BWWRR7J5XLS:3UXUOQ9OKGLI6XXXFWRQVLKPRKCA71,10,amazing job,,trajectory,positive,,,
254,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,9,AMAZING JOB! That was perfect!,AMAZING JOB! ,trajectory,positive,,,
254,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,9,AMAZING JOB! That was perfect!,That was perfect!,trajectory,positive,,,
85,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,6,and grey circle,,features,positive,,"white, circle",
1107,AIPHJXQEDNW9L:3BV8HQ2ZZYPZ2XJSWMMYP7KTWUZ6AB,6,any other circles too,,features,positive,,circle,
616,A2P53AN2M8IWFP:3MTMREQS4X6XWCYYN4Z2N1J6KBLAW3,10,are you real?,,trajectory,negative,,,
389,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,1,Avoid all shades of red,,features,negative,,,
1022,A4ZPIPBDO624H:39LNWE0K4WKZAQSR4SCEMBMSCOLUI4,6,avoid all squares,,features,negative,,square,
936,A3KNO82DZ519HG:3EKVH9QME0S9I333TU1XPVBN1452DR,1,avoid light blue squares,,features,negative,,"blue, square",
937,A3KNO82DZ519HG:3EKVH9QME0S9I333TU1XPVBN1452DR,2,"avoid light blue squares, triangles seem to be worth no points",avoid light blue squares,features,negative,,"blue, square",
937,A3KNO82DZ519HG:3EKVH9QME0S9I333TU1XPVBN1452DR,2,"avoid light blue squares, triangles seem to be worth no points",triangles seem to be worth no points,features,zero,,triangle,
1019,A4ZPIPBDO624H:39LNWE0K4WKZAQSR4SCEMBMSCOLUI4,4,avoid purple and pink squares,,features,negative,,"pink, square",
1201,ANYJ22IOQKAX3:3MRNMEIQW7UFJPPB30J24RAW776DL7,1,avoid purple yellow should be better more often than not,avoid purple,features,negative,,pink,hard
1201,ANYJ22IOQKAX3:3MRNMEIQW7UFJPPB30J24RAW776DL7,1,avoid purple yellow should be better more often than not,yellow should be better more often than not,features,positive,,yellow,hard
841,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,2,Avoid squares,,features,negative,,square,
520,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,1,Avoid squares they are negatives.,,features,negative,,square,
1246,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,2,avoid the purple,,features,negative,,pink,
1252,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,8,Avoid the purple please,,features,negative,,pink,
777,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,3,Avoid those,,trajectory,negative,,,
934,A3KNO82DZ519HG:3EKVH9QME0S9I333TU1XPVBN1452DR,1,avoid yellow squares,,features,negative,,"yellow, square",
1249,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,5,awesome,,trajectory,positive,,,
1250,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,6,awesome,,trajectory,positive,,,
1190,ANVXAMUEBGV8N:3IAEQB9FMG8VUJ1A7EQ4D2RC5ZTDWP,2,Awesome job. The box to your right is worth one point and the box in the far left corner is NEGATIVE 8 so stay away from it.,Awesome job. ,trajectory,positive,,,
1190,ANVXAMUEBGV8N:3IAEQB9FMG8VUJ1A7EQ4D2RC5ZTDWP,2,Awesome job. The box to your right is worth one point and the box in the far left corner is NEGATIVE 8 so stay away from it.,the box in the far left corner is NEGATIVE 8 so stay away from it.,object_spatial,negative,,,
1190,ANVXAMUEBGV8N:3IAEQB9FMG8VUJ1A7EQ4D2RC5ZTDWP,2,Awesome job. The box to your right is worth one point and the box in the far left corner is NEGATIVE 8 so stay away from it.,The box to your right is worth one point,object_behavior,slight_positive,,,
382,A26Y58YECZUZZG:32N49TQG3I6KHNYTXUU61Z0SD2VVAQ,5,Awesome way to go,,trajectory,positive,,,
706,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,5,Awesome!,,trajectory,positive,,,
330,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,9,Awesome! All of the lower right were 0 or negative. If that helps with your color choice,Awesome! ,trajectory,positive,,,
330,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,9,Awesome! All of the lower right were 0 or negative. If that helps with your color choice,All of the lower right were 0 or negative. ,object_spatial,negative,,,
330,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,9,Awesome! All of the lower right were 0 or negative. If that helps with your color choice,If that helps with your color choice,other,,,,
10,A10AVWALIHR4UQ:3Z7EFSHGNB20ER0MHNRFVFN1TGCCX0,10,aww,,trajectory,negative,,,
479,A2E3SM3T01ENIR:3URFVVM1676L5GH14W00M6PI81SUZ6,8,"Back on the plus side, good work",Back on the plus side,trajectory,positive,,,
479,A2E3SM3T01ENIR:3URFVVM1676L5GH14W00M6PI81SUZ6,8,"Back on the plus side, good work",good work,trajectory,positive,,,
197,A1E2629EE0I958:3WRFBPLXRCC7PXQZMOT54AS9LPLN3P,10,bad again,,trajectory,negative,,,
29,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,7,"bad board this round, you'll get em next time",bad board this round,other,negative,,,
29,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,7,"bad board this round, you'll get em next time",you'll get em next time,other,,,,
710,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,8,Bad job!,,trajectory,negative,,,
951,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,1,bad play,,trajectory,negative,,,
117,A163J5TEJBO43B:34MAJL3QP6BL3PGT4JE951M9UT143S,7,"best choice, nice",best choice,trajectory,positive,,,
117,A163J5TEJBO43B:34MAJL3QP6BL3PGT4JE951M9UT143S,7,"best choice, nice",nice,trajectory,positive,,,
660,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,9,best corner again. great job,best corner again,trajectory,positive,,,
660,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,9,best corner again. great job,great job,trajectory,positive,,,
741,A314XJY8V1YL12:39O5D9O87VGOYTT8XYKROZYXM6IC3D,3,Best move possible!,,trajectory,positive,,,
966,A3QC57KUVJP5EW:3VBEN272MMN5ZMUSPZHBMYROCG6SGW,3,Best option there would of been bottom right but oh well.  At least you're not negative this time.,Best option there would of been bottom right but oh well.  ,object_spatial,positive,,,implicature about trajectory being bad
966,A3QC57KUVJP5EW:3VBEN272MMN5ZMUSPZHBMYROCG6SGW,3,Best option there would of been bottom right but oh well.  At least you're not negative this time.,At least you're not negative this time.,trajectory,slight_positive,,,implicature about trajectory being bad
1253,AZACNY1H74YWS:30LSNF239WJQQEJPL828GSR0TAA2IS,9,better,,trajectory,positive,,,
425,A2BA9Y6VGW6WS1:3C8HJ7UOP9I2S8CSVU9EVW8OVFKZME,1,Better luck next time,,trajectory,slight_negative,,,
1031,A5EU1AQJNC7F2:3QECW5O0KJP8YPINX33AS6WLOPE5TM,3,"better, light blue circles are good",better,trajectory,slight_positive,,,
1031,A5EU1AQJNC7F2:3QECW5O0KJP8YPINX33AS6WLOPE5TM,3,"better, light blue circles are good",light blue circles are good,features,positive,,"blue, circle",
726,A2ZL7BZA7RRMIN:34X6J5FLPVM3D85G51D9OB43MXYQJV,1,"Blue and yellow circles are positive, triangles are zero, purple and white shapes are negative","Blue and yellow circles are positive, ",features,positive,,"blue, yellow, circle",
726,A2ZL7BZA7RRMIN:34X6J5FLPVM3D85G51D9OB43MXYQJV,1,"Blue and yellow circles are positive, triangles are zero, purple and white shapes are negative","triangles are zero,",features,zero,,triangle,
726,A2ZL7BZA7RRMIN:34X6J5FLPVM3D85G51D9OB43MXYQJV,1,"Blue and yellow circles are positive, triangles are zero, purple and white shapes are negative",purple and white shapes are negative,features,negative,,"pink, white",
30,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,8,blue circles aren't too bad if they're along the way,,features,slight_positive,,"blue, circle",
860,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,6,"blue circles don't seem to be worth getting, so continue going with purple circles and white after that",blue circles don't seem to be worth getting,features,negative,,"blue, circle",hard
860,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,6,"blue circles don't seem to be worth getting, so continue going with purple circles and white after that",so continue going with purple circles and white after that,features,positive,,"pink, circle, white",hard
125,A16G6PPH1INQL8:3LEP4MGT3IO36G3ZCNU8QOERVDSDBK,1,blue in the lower left is positve,,features,positive,,blue,
128,A16G6PPH1INQL8:3LEP4MGT3IO36G3ZCNU8QOERVDSDBK,2,blue is okay,,features,slight_positive,,blue,
131,A16G6PPH1INQL8:3LEP4MGT3IO36G3ZCNU8QOERVDSDBK,2,blue is okay,,features,slight_positive,,blue,
325,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,4,Both of the lower fields were good this time. Try an upper the next game,Both of the lower fields were good this time. ,object_spatial,positive,,,
325,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,4,Both of the lower fields were good this time. Try an upper the next game,Try an upper the next game,other,,,,
1257,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,1,bottom,,object_spatial,positive,,,
79,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,4,bottom left,,object_spatial,positive,,,
90,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,9,bottom left,,object_spatial,positive,,,
922,A3H6KECCE83132:3YOH7BII0BVQT07F9L7VVD3OIEDKVI,4,bottom left,,object_spatial,positive,,,
803,A39XIQCFSCNHFU:39LNWE0K4WKZAQSR4SCEMBMSC3FIUG,4,bottom left corner there are three eights,,object_spatial,positive,,,
967,A3QC57KUVJP5EW:3VBEN272MMN5ZMUSPZHBMYROCG6SGW,4,Bottom left would of been best but oh well.,,object_spatial,positive,,,implicature about trajectory being bad
75,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,2,bottom right,,object_spatial,positive,,,
77,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,3,bottom right,,object_spatial,positive,,,
81,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,5,bottom right,,object_spatial,positive,,,
86,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,7,bottom right,,object_spatial,positive,,,
919,A3H6KECCE83132:3YOH7BII0BVQT07F9L7VVD3OIEDKVI,2,bottom right,,object_spatial,positive,,,
921,A3H6KECCE83132:3YOH7BII0BVQT07F9L7VVD3OIEDKVI,3,bottom right,,object_spatial,positive,,,
926,A3H6KECCE83132:3YOH7BII0BVQT07F9L7VVD3OIEDKVI,7,bottom right,,object_spatial,positive,,,
1134,AKX5RHHO8BIUX:3E7TUJ2EGEAKINO2E3GCZIJ17BBD9S,7,"bottom right had 4,5,5 in corner and -1 in bottom left, 0 top right.",,object_spatial,multiple,yes,,
861,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,7,"bottom right would have been a little better because there were 3 vs 2, but still good job",bottom right would have been a little better because there were 3 vs 2,object_spatial,positive,,,
861,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,7,"bottom right would have been a little better because there were 3 vs 2, but still good job",but still good job,trajectory,slight_positive,,,
204,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,5,"Bottom right would have been good again. But just keep going, half way there.",Bottom right would have been good again,object_spatial,positive,,,
204,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,5,"Bottom right would have been good again. But just keep going, half way there.","But just keep going, half way there.",other,,,,
1017,A4ZPIPBDO624H:39LNWE0K4WKZAQSR4SCEMBMSCOLUI4,3,bottomright,,object_spatial,positive,,,
1264,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,7,boxes are bad,,features,negative,,square,
266,A1QX1RYLCFXZJ9:3HYA4D452T76GNHZK0WNDVE8D7C2F9,4,Bravo!,,trajectory,positive,,,
392,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,4,Bright green are high values,,features,positive,,,
135,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,1,bright yellow,,features,positive,,yellow,
138,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,2,brightest yellow,,features,positive,,yellow,
76,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,2,brownish circles,,features,slight_positive,,"yellow, circle",
329,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,8,Can you see any colors? Upper right corner is worth 8. shows green.,Can you see any colors? ,other,,,,
329,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,8,Can you see any colors? Upper right corner is worth 8. shows green.,Upper right corner is worth 8. shows green.,object_spatial,positive,,,
67,A14WLAP6TCEKO0:3QRYMNZ7F05COEOT13ZWMNW7FO2NTA,1,choose pink only,,features,positive,,pink,
71,A14WLAP6TCEKO0:3QRYMNZ7F05COEOT13ZWMNW7FO2NTA,5,choose yellow,,features,positive,,yellow,
39,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,5,cicle strong yellow,,features,positive,,"yellow, circle",
140,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,3,circle,,features,positive,,circle,
35,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,1,circles,,features,slight_positive,,circle,
36,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,2,circles,,features,slight_positive,,circle,
559,A2MWAXV1YRK5GH:3AWETUDC94GGWPM1AFBM3317E60ZIY,3,circles are worth more than triangles; avoid all yellow shapes,circles are worth more than triangles,features,multiple,yes,"circle, triangle",hard
559,A2MWAXV1YRK5GH:3AWETUDC94GGWPM1AFBM3317E60ZIY,3,circles are worth more than triangles; avoid all yellow shapes,avoid all yellow shapes,features,negative,,yellow,
260,A1QX1RYLCFXZJ9:3HYA4D452T76GNHZK0WNDVE8D7C2F9,1,circles give you points,,features,positive,,circle,
695,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,6,"circles positive, squares negative, triangles 0",circles positive,features,positive,,circle,
695,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,6,"circles positive, squares negative, triangles 0",squares negative,features,negative,,square,
695,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,6,"circles positive, squares negative, triangles 0",triangles 0,features,zero,,triangle,
691,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,3,circles were positive on this one.,,features,positive,,circle,
847,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,7,"Circles, that is.",,features,neutral,,circle,
182,A1DUAMWOX0BORV:3EA3QWIZ4KJKADD24NM4HF0QTP0ITH,5,Close! good choice of where to go on the map,Close!,trajectory,slight_positive,,,
182,A1DUAMWOX0BORV:3EA3QWIZ4KJKADD24NM4HF0QTP0ITH,5,Close! good choice of where to go on the map,good choice of where to go on the map,trajectory,positive,,,
178,A1DUAMWOX0BORV:3EA3QWIZ4KJKADD24NM4HF0QTP0ITH,1,collect the same color as the 1st 2 but look for higher intensity color,,object_behavior,positive,,,
690,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,2,"colors change each time, this was white and pink",colors change each time,other,,,,
690,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,2,"colors change each time, this was white and pink",this was white and pink,features,positive,,"white, pink",
196,A1E2629EE0I958:3WRFBPLXRCC7PXQZMOT54AS9LPLN3P,9,come on,,trajectory,negative,,,
735,A2ZL7BZA7RRMIN:34X6J5FLPVM3D85G51D9OB43MXYQJV,10,Congratulations! We got a score of 131 and a $0.70 bonus!,Congratulations! ,trajectory,positive,,,
735,A2ZL7BZA7RRMIN:34X6J5FLPVM3D85G51D9OB43MXYQJV,10,Congratulations! We got a score of 131 and a $0.70 bonus!,We got a score of 131 and a $0.70 bonus!,other,,,,
379,A26Y58YECZUZZG:32N49TQG3I6KHNYTXUU61Z0SD2VVAQ,2,cool,,trajectory,positive,,,
17,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,6,dark pink circles are worth 9 or 10 so go for those. avoid the squares and triangles.,dark pink circles are worth 9 or 10 so go for those,features,positive,,"pink, circle",
17,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,6,dark pink circles are worth 9 or 10 so go for those. avoid the squares and triangles.,avoid the squares and triangles.,features,negative,,"square, triangle",
800,A39XIQCFSCNHFU:39LNWE0K4WKZAQSR4SCEMBMSC3FIUG,2,do not get top or bottom in that batch,,object_behavior,negative,,,
358,A23BWWRR7J5XLS:3UXUOQ9OKGLI6XXXFWRQVLKPRKCA71,6,doing good,,trajectory,positive,,,
696,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,7,"doing good, stays the same.",,trajectory,positive,,,
525,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,6,Don't avoid the white circles they are worth 5 points.,,features,positive,,"white, circle",
918,A3H6KECCE83132:3YOH7BII0BVQT07F9L7VVD3OIEDKVI,1,don't get square,,features,negative,,square,
98,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,1,don't get teal squares,,features,negative,,"blue, square",
407,A28HDBWFTOID89:3II4UPYCOLVQAM5OV5RYLD9QHD1QDH,6,don't' give up,,trajectory,negative,,,
206,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,6,each corner was about the same risk that time.,,object_spatial,neutral,,,
87,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,7,everything except green triangle,,features,negative,,triangle,
82,A15SUPIZ05ZFCD:3AMYWKA6YDAO41DT65RGQ24YLQOO67,5,everything except square,,features,negative,,square,
115,A163J5TEJBO43B:34MAJL3QP6BL3PGT4JE951M9UT143S,5,excellent,,trajectory,positive,,,
231,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,8,excellent,,trajectory,positive,,,
290,A1VZSFHTU51JP0:3R8YZBNQ9J6ATD4E4SOCLLZUV2QQ7G,10,excellent,,trajectory,positive,,,
876,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,10,Excellent work!,,trajectory,positive,,,
107,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,9,"excellent, you got it. pink circles, teal circles, white circles, avoid squares.","excellent, you got it. ",trajectory,positive,,,
107,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,9,"excellent, you got it. pink circles, teal circles, white circles, avoid squares.","pink circles, teal circles, white circles",features,positive,,"pink, circle, blue, white",
107,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,9,"excellent, you got it. pink circles, teal circles, white circles, avoid squares.",avoid squares,features,negative,,square,
517,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,9,Excellent!,,trajectory,positive,,,
1240,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,9,Excellent! FYI triangles are neutral (zero points),Excellent!,trajectory,positive,,,
1240,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,9,Excellent! FYI triangles are neutral (zero points),FYI triangles are neutral (zero points),features,zero,,triangle,
501,A2H8GNSEVUJXYL:3KRVW3HTZP95RWQE02F6Z3BL83USMI,5,fair,,trajectory,slight_positive,,,
506,A2H8GNSEVUJXYL:3KRVW3HTZP95RWQE02F6Z3BL83USMI,10,fair,,trajectory,slight_positive,,,
701,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,1,Fantastic!,,trajectory,positive,,,
1234,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,3,fantastic! yellow circles appear to be highest positive.,fantastic!,trajectory,positive,,,
1234,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,3,fantastic! yellow circles appear to be highest positive.,yellow circles appear to be highest positive.,features,positive,,"yellow, circle",
227,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,6,fine,,trajectory,slight_positive,,,
615,A2P53AN2M8IWFP:3MTMREQS4X6XWCYYN4Z2N1J6KBLAW3,9,fine whatver,,trajectory,negative,,,
229,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,7,"fine, but bottom right gives higher scores for the same shape",fine,trajectory,slight_positive,,,
229,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,7,"fine, but bottom right gives higher scores for the same shape",but bottom right gives higher scores for the same shape,object_spatial,slight_positive,,,
533,A2J5D2MNDX8MOB:3GNCZX450KB7C31XBIL7V7BAREFAP5,3,First and last ones you picked up were negative. Middle 2 were worth 8 and 9,First and last ones you picked up were negative. ,object_behavior,negative,,,
533,A2J5D2MNDX8MOB:3GNCZX450KB7C31XBIL7V7BAREFAP5,3,First and last ones you picked up were negative. Middle 2 were worth 8 and 9,Middle 2 were worth 8 and 9,object_behavior,positive,,,
536,A2J5D2MNDX8MOB:3GNCZX450KB7C31XBIL7V7BAREFAP5,5,First and third ones you got were negative (front one and upper left one). Middle one was +10,First and third ones you got were negative (front one and upper left one),object_behavior,negative,,,
536,A2J5D2MNDX8MOB:3GNCZX450KB7C31XBIL7V7BAREFAP5,5,First and third ones you got were negative (front one and upper left one). Middle one was +10,Middle one was +10,object_behavior,positive,,,
396,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,8,First collected 0 Second collected 1,First collected 0 ,object_behavior,zero,,,
396,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,8,First collected 0 Second collected 1,Second collected 1,object_behavior,slight_positive,,,
397,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,9,First collected 0 Second collected 8 Third collected 0,First collected 0 ,object_behavior,zero,,,
397,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,9,First collected 0 Second collected 8 Third collected 0,Second collected 8 ,object_behavior,positive,,,
397,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,9,First collected 0 Second collected 8 Third collected 0,Third collected 0,object_behavior,zero,,,
398,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,10,First collected 5 Second collected 5,,object_behavior,positive,yes,,
395,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,7,First collected 9 Second collected 1,First collected 9 ,object_behavior,positive,,,
395,A27VBVMMEX9GJB:3OLF68YTNBPVLQC3XFP2JDX6PV1FAQ,7,First collected 9 Second collected 1,Second collected 1,object_behavior,slight_positive,,,
